_id,작성자,별점 점수,리뷰내용
658a9836c41002f5926ed0a7,롯데폐인,1.5,세계관이 너무 좁아. 전개도 어설프고...\n마블유니버스가 뛰어난 이유가 있었군
658a9836c41002f5926ed0a8,무비조이,2.0,잭 스나이더가 세계관을 구축하는 방식이 궁금해질 지경에 이르렀다.
658a9836c41002f5926ed0a9,Oh,3.0,"한정된 자원. 소멸되는 지력. 착취에 마침내 항거하는 농부들. 미래 전쟁의 주요 쟁점들을 구심점으로 <잭 스나이더의 '그대들은 어떻게 살것인가'>는 베풂이 여전히 첫번째 인간성이라고 믿는 전설의 예비군들을 소집해 의로운 싸움을 제시코자 한다. 아무리 자원과 지력의 쟁탈전이 될 차디찬 미래라 할지라도, 인간성의 가치가 우선이기에, 우리 농부들을 지켜내야 한다고.\n\n..라고 말하는 신념 꽉찬 무사 '배두나의 god 의로운 네메시스'가 보고싶었는데, 따라오라고 따라가는 푼수를 만들어놓다니!! 재야의 전설들이 죄다 말 한마디에..ㅋㅋ 농부는 중심도 아니고 힘도 없고.. 근데 다 감사인사는 농부한테하고ㅋㅋㅋ.. 결국 파트2에서 각성한다는 예고편. 최종 편집본을 검수안했나 싶을 정도의 삐꾸의 완성도지만, 이야기를 완수하길 바라며 파트2에 기대어본다.\n\n또 이런식으로 ""말도 안되게"" 다 잘라낸 편집본 앞에 보여주고 나중에 ""말이 되게만든"" 감독판 뒤에 감췄다가 내놓을 셈이지? <왓치맨> <배트맨 v 슈퍼맨> <저스티스 리그>, '잭 스나이더의~' 감독판 다 좋은데, 그 혁명적인 <새벽의 저주>때 눈뒤집힌 감각이 그리워진다. 아니면 연속극을 하시던가?"
658a9836c41002f5926ed0aa,림군이,2.0,결국 잭스나이더도 넷플릭스화 되어버렸다.
658a9836c41002f5926ed0ab,도반,2.5,"과거회상, 슬로우모션 금지법 촉구"
658a9836c41002f5926ed0ac,한길,2.0,"잭 스나이더 머리에 무엇이 들어있나 궁금하기보다는, 이제는 뭐라도 들어있었으면 좋겠다."
658a9836c41002f5926ed0ad,힙합팬,보고싶어요,와.. 잭 스나이더와 배두나!!!
658a9836c41002f5926ed0ae,soul23,4.0,"사람들의 기대가 컸던 만큼 이 영화의 평가가 생각보다 야박한 것 같다.\n난 나쁘지 않게 봤다, 악당이 매력적이고, 비주얼도 좋았다 하지만 스토리가 아쉬웠다\n그럼에도 아깝지 않은 시간이었던 것 같다\n\n평가나 분석보단 뇌 빼고 즐겁게 보면 될 거 같다."
658a9836c41002f5926ed0af,맛스타,2.0,영화자체가 멋이 없다. 죄다 짜집어놓으니.\n심지어 캐릭터들도 다들 하나같이 어정쩡.\npart2는 기대도 안되네...
658a9836c41002f5926ed0b0,미드나잇인파리,2.0,우주로 떡칠해놓은 올드함이라니
